基準地の１平方メートル当たり価格（円）,基準地の地積（m2）,基準地の鉄道その他の主要な交通施設との接近状況,ガス,下水,水道,鉄筋コンクリート造,鉄骨造,木造,ホテル,事務所,住宅,工場,店舗,銀行
15300,530,2300.0,0,0,1,0,0,1,0,0,1,0,0,0
44000,226,1400.0,1,1,1,0,0,1,0,0,1,0,0,0
46400,292,600.0,1,1,1,0,0,1,0,0,0,0,1,0
44900,586,800.0,1,1,1,0,1,0,0,0,1,0,0,0
41400,350,1300.0,1,1,1,0,0,1,0,0,0,0,1,0
60000,90,750.0,1,1,1,0,1,0,0,0,0,0,1,0
55800,837,1700.0,0,0,1,0,1,0,0,1,0,0,0,0
52600,596,2800.0,0,0,1,1,0,0,0,0,0,0,1,0
20400,2351,6800.0,0,0,1,0,1,0,0,0,0,1,0,0
37200,308,1800.0,1,1,1,0,0,1,0,0,1,0,0,0
35500,110,1100.0,1,1,1,0,0,1,0,0,1,0,0,0
40600,237,2200.0,1,1,1,0,0,1,0,0,1,0,0,0
20100,803,4900.0,0,0,1,0,0,1,0,0,1,0,0,0
53100,331,2300.0,1,1,1,0,0,1,0,0,1,0,0,0
34300,198,4000.0,1,1,1,0,0,1,0,0,1,0,0,0
40100,198,4000.0,1,1,1,0,0,1,0,0,1,0,0,0
34800,305,3600.0,0,0,1,0,1,0,0,0,1,0,0,0
36200,240,5900.0,1,1,1,0,0,1,0,0,1,0,0,0
30100,349,3200.0,0,1,1,0,0,1,0,0,1,0,0,0
51100,148,700.0,1,1,1,0,0,1,0,0,1,0,0,0
53200,287,3600.0,1,1,1,0,0,1,0,0,1,0,0,0
38300,191,1500.0,0,1,1,0,0,1,0,0,1,0,0,0
60300,396,1500.0,1,1,1,0,0,1,0,0,1,0,0,0
32100,254,1400.0,1,0,1,0,1,0,0,0,1,0,0,0
26800,277,780.0,0,0,1,0,0,1,0,0,1,0,0,0
59000,316,1600.0,0,1,1,0,0,1,0,1,0,0,0,0
42500,535,600.0,0,1,1,0,0,1,0,0,1,0,0,0
25400,264,2000.0,0,1,1,0,0,1,0,0,1,0,0,0
26400,247,1600.0,1,1,1,0,0,1,0,0,1,0,0,0
28700,282,550.0,0,1,1,0,0,1,0,0,1,0,0,0
18600,891,3600.0,0,0,1,0,0,1,0,0,1,0,0,0
20900,352,1400.0,0,1,1,0,0,1,0,0,1,0,0,0
94100,396,850.0,1,1,1,0,1,0,0,1,0,0,0,0
88400,603,1000.0,1,1,1,0,0,1,0,0,0,0,1,0
84200,250,1100.0,1,1,1,0,0,1,0,0,0,0,1,0
61200,1626,1700.0,1,1,1,0,1,0,0,0,0,0,1,0
76100,284,500.0,1,1,1,0,1,0,0,0,0,0,0,0
57500,1329,2800.0,0,0,1,0,1,0,0,0,0,1,0,0
61700,1150,2400.0,0,0,1,0,0,1,0,0,0,0,1,0
23000,384,80.0,0,0,1,0,1,0,0,0,0,0,1,0
22000,1648,3600.0,0,0,1,0,1,0,0,0,0,0,1,0
33600,992,1200.0,0,0,1,0,0,1,0,0,0,0,1,0
72000,960,2000.0,0,0,1,0,1,0,0,0,0,0,1,0
19100,88571,2700.0,1,0,1,0,0,0,0,0,0,1,0,0
19000,3003,2500.0,0,0,1,0,1,0,0,0,0,1,0,0
24400,2499,1300.0,0,0,1,0,1,0,0,0,0,1,0,0
24000,3296,3400.0,0,0,1,0,1,0,0,1,0,0,0,0
11600,287,20500.0,0,1,1,0,0,1,0,0,1,0,0,0
37200,281,3600.0,0,1,1,0,0,1,0,0,1,0,0,0
28700,232,700.0,0,1,1,0,0,1,0,0,1,0,0,0
22900,263,5600.0,0,0,1,0,0,1,0,0,1,0,0,0
17600,493,10000.0,0,1,1,0,0,1,0,0,1,0,0,0
10500,692,18500.0,0,1,1,0,0,1,0,0,1,0,0,0
43200,1184,4900.0,0,0,1,0,1,0,0,0,0,0,1,0
30300,226,450.0,1,0,1,0,0,1,0,0,1,0,0,0
34600,224,2100.0,1,1,1,0,0,1,0,0,1,0,0,0
34100,304,1000.0,0,1,1,0,0,1,0,0,1,0,0,0
