時点,就業者-男女計-万人,就業率-15_64歳,就業率-65歳以上,完全失業率-男女計,完全失業率-男,完全失業率-女,有効求人倍率,総実労働時間,総実労働時間うち一般労働者,総実労働時間うちパートタイム労働者
2015年2月,6346,72.7,21.1,3.5,3.7,3.1,1.22,142.4,166.7,87
2015年3月,6343,72.7,21.1,3.5,3.8,3.1,1.2,146,171,89
2015年4月,6367,72.9,21.3,3.6,3.6,3.5,1.08,151.2,176.7,91.6
2015年5月,6425,73.3,22.3,3.4,3.5,3.3,1.07,139.1,160.6,88.7
2015年6月,6451,73.5,22.3,3.4,3.5,3.2,1.1,149.4,174.7,90.9
2015年7月,6407,73.3,21.9,3.4,3.5,3.2,1.17,150.3,176.3,90.8
2015年8月,6406,73.3,21.9,3.4,3.6,3.2,1.21,141.4,164.3,89.4
2015年9月,6466,73.9,22.2,3.4,3.6,3.1,1.25,143.3,167.2,88.6
2015年10月,6459,74,21.9,3.1,3.4,2.7,1.28,144.7,169.5,88.3
2015年11月,6406,73.6,21.4,3.2,3.4,2.9,1.32,145.4,170.7,88.4
2015年12月,6410,73.7,21.4,3.1,3.4,2.6,1.34,143.7,168.1,89
2016年1月,6424,73.7,21.9,3.2,3.5,2.8,1.36,135.2,157.5,85.1
2016年2月,6376,73.5,21.3,3.2,3.6,2.8,1.38,142.9,167.8,86.5
2016年3月,6364,73.5,20.9,3.3,3.5,3,1.35,147.1,173,88.5
2016年4月,6420,74,21.7,3.4,3.5,3.3,1.24,148.8,174.8,89.4
2016年5月,6471,74.1,22.8,3.2,3.3,3.1,1.23,138.1,160.3,86.9
2016年6月,6522,74.5,23.4,3.1,3.1,3.1,1.27,149,175,89.3
2016年7月,6504,74.5,23,3,3.2,2.8,1.32,146.4,172,88.4
2016年8月,6489,74.6,22.4,3.2,3.5,2.8,1.36,140.4,163.7,87.5
2016年9月,6522,75,22.7,3,3.4,2.6,1.4,144,169.1,87.3
2016年10月,6520,74.9,22.6,2.9,3.2,2.6,1.43,143.4,168.7,86.5
2016年11月,6477,74.6,22.3,3,3.1,2.7,1.48,145.3,171.2,87.1
2016年12月,6490,74.8,22.3,2.9,3.2,2.4,1.51,143.5,168.5,87.7
2017年1月,6470,74.7,22.2,3,3.2,2.6,1.51,133.8,156.3,83.5
2017年2月,6427,74.3,21.9,2.8,3.1,2.6,1.53,142,167.7,84.6
2017年3月,6433,74.3,22.2,2.8,3,2.7,1.49,144.7,170.6,86
2017年4月,6500,74.9,22.9,2.9,2.9,2.9,1.38,148,174.1,88.1
2017年5月,6547,75.3,23.4,3.1,3.2,3.1,1.36,139.6,162.9,86.2
2017年6月,6583,75.6,23.7,2.8,2.8,2.8,1.41,149.1,175.7,88.4
2017年7月,6563,75.5,23.4,2.8,3.1,2.5,1.47,145.8,171.6,87.2
2017年8月,6573,75.6,23.8,2.8,3,2.5,1.51,139.3,162.7,86.3
2017年9月,6596,75.8,23.9,2.8,2.9,2.7,1.54,143.8,169.1,86.3
2017年10月,6581,75.8,23.5,2.7,2.8,2.5,1.58,144.5,170.6,85.4
